ID,Nr_NHP,Included_alignment,ID_DEPAVE,ID_SINAN,ID_Sigh,ID_Sigh_virology,ID_Pool_Mosquitoes,LOCATION,ZONE_PEAL,ADDRESS,Location,Latitude,Longitude,Time,Date_death,Date_of_identification_or_collection,Date_notification,Stage_decomposition,FINAL_YFV_Result,IHQ_YFV_Result,PCR_YFV_Result,RT_PCR_Ct,Collection,Transport_institute,Collected_by,Popular_name,Species,Number_individuals,Sex,Age_class,Photo_record,Height,Technique,Notes,Notes_2,Necropsy_material_collection_by,Cause_of_death,TCE,Main_pathological_alterations,IHQ_Report,PCR_Report,Rabies_Report,Final_Report,STATUS,MULTIPLEX_PCR_SEQUENCING,MULTIPLEX_PCR_BARCODE_NUMBER,MULTIPLEX_PCR_LIBRARY_NAME,MULTIPLEX_PCR_Nb of reads mapped,Average depth coverage,MULTIPLEX_PCR_Bases covered >10x,MULTIPLEX_PCR_Bases covered >25x,MULTIPLEX_PCR_Reference covered (%),SMART_9N_SEQUENCING,Lab_number,Qubit ,SMART_9N_BARCODE_NUMBER,SMART_9N_LIBRARY_NAME,SMART_9N_Nb of reads ,N50,SMART_9N_Nb of reads mapped,SMART_9N_% of reads mapped,SMART_9N_Average depth coverage,Identity,SMART_9N_Bases covered >10x,SMART_9N_Bases covered >20x,SMART_9N_Reference covered_10 (%),SMART_9N_Reference covered_20 (%),KRAKEN2_DISCOVERY,Reference_genome
11,2688,,74214,4304063,2195581G,,,Norte,Uso Público,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",São João Gualberto,"-23,4598158","-46,6361394",09:00,17/12/2017,17/12/2017,17/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,"9,66",Sim,GCM-DEPAVE,"Dilmar, Márcio, Thalita",Bugio-ruivo,Alouatta guariba clamitans,N/A,Fêmea,Adulto (Lactante),ok,N/A,N/A,Fêmea Lactante,"** se coloca so rua do horto 931 da em um lugar diferent. Policiamento Ambiental do Estado de São Paulo - R. do Horto, 931 - Horto Florestal, São Paulo - SP, Brasil",M.V. Thaís Sanches,"Infecciosa, agente viral, febre amarela",-,Hepatopatia e nefropatia,sim,sim,,sim,Sequenced,Sequenced,BC08,YFV_Lib02Rep_20220516,82508,2535.28,10099,9939,80.5783,Sequenced,21,"37,6",BC21,YFV_metagenomics_2,"440,140",520,"211,290",48.005,"7,244.14",95.5,10849,10849,99.908,99.908,-,JF912190.1
12,,,74215,4304063,,,,Norte,Uso Público,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",São João Gualberto,"-23,4598158","-46,6361394",09:00,17/12/2017,17/12/2017,17/12/2017,Vivo,POSITIVO,Positivo,Positivo,,Sim,GCM-DEPAVE,"Dilmar, Márcio, Thalita",Bugio-ruivo,Alouatta guariba clamitans,N/A,Indeterminado,Filhote,ok,N/A,N/A,Filhote (menos de 1 semana) encaminhado vivo ao DEPAVE,"** se coloca so rua do horto 931 da em um lugar diferent. Policiamento Ambiental do Estado de São Paulo - R. do Horto, 931 - Horto Florestal, São Paulo - SP, Brasil",M.V. Thaís Sanches,"Eutanásia, Infecciosa, agente viral, febre amarela",-,Ausência de lesões,sim,sim,,sim,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,74300,5734917,,,,Norte,Uso Público,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",São João Gualberto,"-23,4598158","-46,6361394",08:20,18/12/2017,18/12/2017 ou 19/12/2017,19/12/2017,Íntegro (vivo + 1 a 2 dias),POSITIVO,Positivo,Positivo,,Sim,GCM-DEPAVE,"José Carlos, Katherine, Márcio, Paulo",Bugio-ruivo,Alouatta guariba clamitans,N/A,Macho,Jovem,ok,N/A,N/A,"Morreu em cima da árvore, a 15 m de alt. Retirado com podão.","** se coloca so rua do horto 931 da em um lugar diferent. Policiamento Ambiental do Estado de São Paulo - R. do Horto, 931 - Horto Florestal, São Paulo - SP, Brasil",M.V. Thaís Sanches,"Infecciosa, agente viral, febre amarela",-,Hepatopatia e nefropatia,sim,sim,,sim,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,74301,5734917,,,,Norte,Uso Público,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",São João Gualberto,"-23,4598158","-46,6361394",11:10,19/12/2017,19/12/2017,19/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,,Sim,GCM-DEPAVE,"Ze, Paulo",Bugio-ruivo,Alouatta guariba clamitans,N/A,Macho,Adulto,ok,N/A,N/A,-,"** se coloca so rua do horto 931 da em um lugar diferent. Policiamento Ambiental do Estado de São Paulo - R. do Horto, 931 - Horto Florestal, São Paulo - SP, Brasil",M.V. Thaís Sanches,"Infecciosa, agente viral, febre amarela",-,Hepatopatia e nefropatia,sim,sim,não enviado - ok,sim,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2694,,74302,5734917,2196280D,,,Norte,Uso Público,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Arboreto 500 anos,"-23,4598158","-46,6361394",11:06,19/12/2017,19/12/2017,19/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,"9,39",Sim,GCM-DEPAVE,"Márcio, Zé, Paulo",Bugio-ruivo,Alouatta guariba clamitans,N/A,Macho,Adulto,ok,N/A,N/A,P10 - Morreu,"** se coloca so rua do horto 931 da em um lugar diferent. Policiamento Ambiental do Estado de São Paulo - R. do Horto, 931 - Horto Florestal, São Paulo - SP, Brasil",M.V. Marcello Schiavo Nardi,"Infecciosa, agente viral, febre amarela",-,"Hepatopatia, nefropatia, ascite, hidropericárdio",sim,sim,,sim,Sequenced,Sequenced,BC10,YFV_Lib02Rep_20220516,42131,1692.67,10087,9554,80.7257,Sequenced,23,"59,4",BC23,YFV_metagenomics_2,"230,812",526,"89,420",38.741,"3,486.36",95.5,10849,10849,99.908,99.908,-,JF912190.1
16,,,74327,5734919,,,,Norte,Uso Público,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Museu Otávio Vecchi,"-23,4598158","-46,6361394",08:50,20/12/2017,20/12/2017,20/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,,sim,GCM-DEPAVE,Marcio,Bugio-ruivo,Alouatta guariba clamitans,N/A,Fêmea,Sub adulto,ok,N/A,N/A,_,"** se coloca so rua do horto 931 da em um lugar diferent. Policiamento Ambiental do Estado de São Paulo - R. do Horto, 931 - Horto Florestal, São Paulo - SP, Brasil",M.V. Luciana Martins Rodrigues Guerra,"Infecciosa, agente viral, febre amarela",-,"Discreto conteúdo em estômago e alças, órgãos friáveis (autólise), hepatopatia, palidez renal, ascite, hidropericárdio.",sim,sim,,sim,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2731,,74328,5734919,2196539I,,,Norte,Uso Público,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",P10_Comando Pamb,"-23,4598158","-46,6361394",15:40,20/12/2017,20/12/2017,20/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,"8,64",sim,GCM-DEPAVE,Marcio,Bugio-ruivo,Alouatta guariba clamitans,N/A,Macho,Adulto (alfa),ok,N/A,N/A,Morreu 14:44 Matinha Próxima P10.,"** se coloca so rua do horto 931 da em um lugar diferent. Policiamento Ambiental do Estado de São Paulo - R. do Horto, 931 - Horto Florestal, São Paulo - SP, Brasil",M.V. Thaís Sanches,"Infecciosa, agente viral, febre amarela",-,"Fissura hepática, linfonodos mesentéricos com dimensões aumentadas",sim,sim,,sim,Sequenced,Sequenced,BC27,YFV_Lib02Rep_20220516,57887,1954.27,10165,9757,84.6211,Sequenced,40,"41,4",BC17,YFV_metagenomics_1,82830,511,24694,29.81,907.893,94.8,10849,10849,99.899,99.899,-,JF912190.1
18,,,74329,5734919,,,,Norte,Uso Público,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Portão Principal (P04),"-23,4598158","-46,6361394",16:27,20/12/2017,20/12/2017,20/12/2017,Íntegro (Vivo_0 a 2 dias),POSITIVO,Positivo ou Amostra inadequada - sem fígado,Positivo,,Sim,GCM-DEPAVE,Zé Carlos,Bugio-ruivo,Alouatta guariba clamitans,N/A,Macho,Adulto,ok,N/A,N/A,Morreu 16:27,"** se coloca so rua do horto 931 da em um lugar diferent. Policiamento Ambiental do Estado de São Paulo - R. do Horto, 931 - Horto Florestal, São Paulo - SP, Brasil",M.V. Luciana Martins Rodrigues Guerra,"Infecciosa, agente viral, febre amarela",-,"Hepatopatia, ascite, palidez renal, áreas hemorrágicas em intestino",sim,sim,,sim,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2725,,74346,5734924,,,,Norte,Uso Público,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Portão Principal (P04),"-23,4598158","-46,6361394",16:35,21/12/2017,21/12/2017,21/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,"11,13",Sim,GCM-DEPAVE,Paulo/Marcio,Bugio-ruivo,Alouatta guariba clamitans,N/A,Macho,Filhote,ok,N/A,N/A,3 Epizootias mesmo grupo e local,"** se coloca so rua do horto 931 da em um lugar diferent. Policiamento Ambiental do Estado de São Paulo - R. do Horto, 931 - Horto Florestal, São Paulo - SP, Brasil",M.V. Thaís Sanches,"Infecciosa, agente viral, febre amarela",-,"Fígado vermelho-amarelada, fissura hepática em vários lobos, coágulo sanguíneo livre em cavidade abdominal",sim,sim,,sim,Sequenced,Sequenced,BC25,YFV_Lib02Rep_20220516,68453,2182.93,10224,9960,86.4076,Sequenced,38,"53,6",BC15,YFV_metagenomics_1,51104,541,11179,21.88,429.929,94.9,10849,10849,99.899,99.899,-,JF912190.1
20,,,74347,5734924,,,,Norte,Uso Público,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Portão Principal (P04),"-23,4598158","-46,6361394",16:35,21/12/2017,21/12/2017,21/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Inadequado/SemFígado,Positivo,,Sim,GCM-DEPAVE,Paulo/Marcio,Bugio-ruivo,Alouatta guariba clamitans,N/A,Fêmea,Adulta,ok,N/A,N/A,3 Epizootias mesmo grupo e local,"** se coloca so rua do horto 931 da em um lugar diferent. Policiamento Ambiental do Estado de São Paulo - R. do Horto, 931 - Horto Florestal, São Paulo - SP, Brasil",M.V. Thaís Sanches,"Infecciosa, agente viral, febre amarela",-,"Hepatopatia, nefropatia, ascite e hidropericárdio",sim,sim,não enviado - ok,sim,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,74348,5734924,,,,Norte,Uso Público,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Portão Principal (P04),"-23,4598158","-46,6361394",16:35,21/12/2017,21/12/2017,21/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,,Sim,GCM-DEPAVE,Paulo/Marcio,Bugio-ruivo,Alouatta guariba clamitans,N/A,Fêmea,Adulta,ok,N/A,N/A,3 Epizootias mesmo grupo e local,"** se coloca so rua do horto 931 da em um lugar diferent. Policiamento Ambiental do Estado de São Paulo - R. do Horto, 931 - Horto Florestal, São Paulo - SP, Brasil",M.V. Thaís Sanches,"Infecciosa, agente viral, febre amarela",-,"Hepatipatia, nefropatia e discreta ascite",sim,sim,não enviado - ok,sim,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2742,,74403,5734926,2196568A,,,Norte,Uso Público,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",P10_Comando Pamb,"-23,4598158","-46,6361394",11:40,22/12/2017,22/12/2017,22/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,11,Sim,GCM-DEPAVE,Vig,Bugio-ruivo,Alouatta guariba clamitans,N/A,Fêmea,Adulto,ok,N/A,N/A,,,M.V. Marcello Schiavo Nardi,"Infecciosa, agente viral, febre amarela",-,"Hepatopatia, nefropatia, ascite.",sim,sim,,sim,Sequenced,Sequenced,BC11,YFV_horto,24858,1138.62,10230,10175,84.9342,Sequenced,11,"61,2",BC11,YFV_metagenomics_2,"281,965",536,"29,986",10.635,"1,324.17",95.3,10849,10849,99.908,99.908,-,JF912190.1
23,2743,,74404,5734926,2196569K,,,Norte,Vila Amália,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Arboreto_Talhão de Pinus,"-23,4598158","-46,6361394",11:34,22/12/2017,22/12/2017,22/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,"9,06",Sim,GCM-DEPAVE,Jose Carlos,Bugio-ruivo,Alouatta guariba clamitans,N/A,Macho,Adulto (alfa),ok,N/A,N/A,,,M.V. Eric Thal Brambila C. da Silva,"Infecciosa, agente viral, febre amarela",-,"Hepatopatia, palidez renal, ascite, hidropericárdio",sim,sim,,sim,Sequenced,Sequenced,BC28,YFV_Lib02Rep_20220516,54769,2050.39,10122,9670,80.6152,Sequenced,41,"61,6",BC18,YFV_metagenomics_1,56402,540,14362,25.46363604,573.542,94.9,10849,10849,99.89871087,99.89871087,-,JF912190.1
24,,,74405,5734926,,,,Norte,Sede-IF,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",P10_Comando Pamb,"-23,4598158","-46,6361394",09:50,22/12/2017,22/12/2017,22/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,,Não,GCM-DEPAVE,Marina,Bugio-ruivo,Alouatta guariba clamitans,N/A,Fêmea,Jovem,ok,N/A,N/A,,,M.V. Thaís Sanches,"Infecciosa, agente viral, febre amarela",-,Hepato e nefropatia,sim,sim,não enviado - ok,sim,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2786,,74416,5734930,2196779K,01/34412,,Norte,Sede-IF,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Casa 04,"-23,4598158","-46,6361394",11:20,23/12/2017,23/12/2017 ou 24/12/2017,24/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,"6,94",Sim,PAMB-DEPAVE,José Carlos,Bugio-ruivo,Alouatta guariba clamitans,N/A,Macho,Adulto,ok,N/A,N/A,-,,M.V. Thaís Sanches,"Infecciosa, agente viral, febre amarela",-,"Hepatopatia, nefropatia e hemoperitôneo",sim,sim,não enviado - ok,sim,Sequenced,Sequenced,BC22,YFV_Lib02Rep_20220516,49506,1744.29,10230,9962,85.9011,Sequenced,35,"54,4",BC12,YFV_metagenomics_1,25325,516,8259,32.61,324.342,94.8,10849,10849,99.899,99.899,-,JF912190.1
26,2787,,74417,5734930,2196780F,01/34413,,Norte,Sede-IF,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",Dasonomia,"-23,4598158","-46,6361394",12:00,23/12/2017,23/12/2017 ou 24/12/2017,24/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,missing,Sim,PAMB-DEPAVE,"Dilmar, José Carlos",Bugio-ruivo,Alouatta guariba clamitans,N/A,Macho,Adulto,ok,N/A,N/A,-,,M.V. Thaís Sanches,"Infecciosa, agente viral, febre amarela",-,"Hepatopatia, nefropatia, lesões traumáticas em crânio",sim,sim,,sim,Sequenced,Sequenced,BC22,YFV_Lib02Rep_20220516,49506,1744.29,10230,9962,85.9011,Sequenced,N/A,"4,04",BC13/BC13/BC17,LibYFV_PNHmosq_20220804/LibYFV_MosqPNHrepeticao_20220816/yfv_repeticao_Cantareira_20220922,"321,847",413,27924,8.676172218,1388.867,95.1,10848,10848,99.89870154,99.89870154,-,JF912190.1
27,2788,,74418,5734930,2196781E,01/34414,,Norte,Uso Público,"P.E. Albert Lofgren/ Horto Florestal - Rua do Horto, 931 - Horto Florestal - CEP: 02377-000 - São Paulo - SP",P10_Comando Pamb,"-23,4598158","-46,6361394",10:34,23/12/2017,23/12/2017 ou 24/12/2017,24/12/2017,Íntegro (vivo_0 a 2 dias),POSITIVO,Positivo,Positivo,missing,Não,PAMB-DEPAVE,Zampiroli PAMB,Bugio-ruivo,Alouatta guariba clamitans,N/A,Não Informado,Não Informado,Não,N/A,N/A,,,M.V. Thaís Sanches,"Infeciosa, agente viral, febre amarela",-,"Hepatopatia, nefropatia e hemoperitôneo - autólise moderada",sim,sim,não enviado - ok,sim,Sequenced,Sequenced,BC22,YFV_Lib02Rep_20220516,49506,1744.29,10230,9962,85.9011,Sequenced,N/A,"4,24",BC14/BC15/BC18,LibYFV_PNHmosq_20220804/LibYFV_MosqPNHrepeticao_20220816/yfv_repeticao_Cantareira_20220922,"469,318",408,1386,0.295322148,57.711,94.9,7876,6142,72.52969887,56.56137766,-,JF912190.1
